노선번호,기점,종점, ,기점 시간,배차간격(분)
421,광덕2리(종점),병천농협,토요일,07:15 ~ 19:45,
,,,공휴일,07:15 ~ 19:45,
,,,평일,07:00 ~ 19:00,
430,가좌리,병천농협,토요일,07:00 ~ 19:00,
,,,공휴일,07:00 ~ 19:00,
,,,평일,06:30 ~ 18:30,
430,병천우체국,가좌리,토요일,06:30 ~ 18:30,
,,,공휴일,06:30 ~ 18:30,
,,,평일,11:45 ~ 11:45,
431,용두3리(유관순생가앞),병천3리,토요일,11:45 ~ 11:45,
,,,공휴일,11:45 ~ 11:45,
,,,평일,11:30 ~ 11:30,
431,병천3리,용두2리(유관순생가앞),토요일,11:30 ~ 11:30,
,,,공휴일,11:30 ~ 11:30,
,,,평일,06:20 ~ 20:50,
450,화덕2리(종점),병천농협,토요일,06:20 ~ 20:50,
,,,공휴일,06:20 ~ 20:50,
,,,평일,07:40 ~ 20:20,
450,병천우체국,화덕2리(종점),토요일,07:40 ~ 20:20,
,,,공휴일,07:40 ~ 20:20,
,,,평일,07:00 ~ 19:10,
451,죽계2리,병천농협,토요일,07:00 ~ 19:10,
,,,공휴일,07:00 ~ 19:10,
,,,평일,06:35 ~ 18:45,
451,병천우체국,죽계2리,토요일,06:35 ~ 18:45,
,,,공휴일,06:35 ~ 18:45,
,,,평일,11:40 ~ 11:40,
452,병천우체국,화덕3리(종점),토요일,11:40 ~ 11:40,
,,,공휴일,11:40 ~ 11:40,
,,,평일,12:10 ~ 12:10,
452,화덕3리(종점),병천농협,토요일,12:10 ~ 12:10,
,,,공휴일,12:10 ~ 12:10,
,,,평일,09:30 ~ 15:50,
453,화덕2리(종점),병천농협,토요일,09:30 ~ 15:50,
,,,공휴일,09:30 ~ 15:50,
,,,평일,09:00 ~ 15:20,
453,병천우체국,화덕2리(종점),토요일,09:00 ~ 15:20,
,,,공휴일,09:00 ~ 15:20,
,,,평일,06:50 ~ 21:00,
460,병천3리,봉항3리,토요일,06:50 ~ 21:00,
,,,공휴일,06:50 ~ 21:00,
,,,평일,06:20 ~ 21:50,
460,봉항3리,병천면행정복지센터,토요일,06:20 ~ 21:50,
,,,공휴일,06:20 ~ 21:50,
,,,평일,09:30 ~ 19:20,
461,봉항3리,병천3리,토요일,09:30 ~ 19:20,
,,,공휴일,09:30 ~ 19:20,
,,,평일,08:40 ~ 18:30,
461,병천3리,봉항3리,토요일,08:40 ~ 18:30,
,,,공휴일,08:40 ~ 18:30,
,,,평일,07:20 ~ 20:30,
462,병천3리,서원리(종점),토요일,07:20 ~ 20:30,
,,,공휴일,07:20 ~ 20:30,
,,,평일,07:35 ~ 20:45,
462,서원리(종점),유관순열사유적지,토요일,07:35 ~ 20:45,
,,,공휴일,07:35 ~ 20:45,
,,,평일,10:30 ~ 17:00,
463,봉항3리,도원1리(면실부락),토요일,10:30 ~ 17:00,
,,,공휴일,10:30 ~ 17:00,
,,,평일,09:40 ~ 16:20,
463,병천3리,봉항3리,토요일,09:40 ~ 16:20,
,,,공휴일,09:40 ~ 16:20,
,,,평일,10:40 ~ 10:40,
492,병천3리,종합터미널,토요일,10:40 ~ 10:40,
,,,공휴일,10:40 ~ 10:40,
,,,평일,07:00 ~ 18:00,
493,병천3리,천안아산역,토요일,07:00 ~ 18:00,
,,,공휴일,07:00 ~ 18:00,
,,,평일,08:30 ~ 19:30,
493,천안아산역,병천3리,토요일,08:30 ~ 19:30,
,,,공휴일,08:30 ~ 19:30,
,,,평일,06:05 ~ 22:00,
500,종합터미널,병천3리,토요일,06:05 ~ 22:00,
,,,공휴일,06:05 ~ 22:00,
,,,평일,06:25 ~ 22:15,
500,병천3리,"천안의료원,고려신학대학원",토요일,06:25 ~ 22:15,25
,,,공휴일,06:25 ~ 22:15,25
,,,평일,06:40 ~ 20:50,25
510,백자3리,유관순열사유적지,토요일,06:40 ~ 20:50,
,,,공휴일,06:40 ~ 20:50,
,,,평일,06:20 ~ 20:30,
510,병천3리,백자3리,토요일,06:20 ~ 20:30,
,,,공휴일,06:20 ~ 20:30,
,,,평일,07:35 ~ 14:45,
512,종합터미널,백자3리,토요일,07:35 ~ 14:45,430
,,,공휴일,07:35 ~ 14:45,430
,,,평일,08:40 ~ 15:50,430
512,백자3리,종합터미널,토요일,08:40 ~ 15:50,430
,,,공휴일,08:40 ~ 15:50,430
,,,평일,06:50 ~ 20:25,430
520,발산리,병천3리,토요일,06:50 ~ 20:25,
,,,공휴일,06:50 ~ 20:25,
,,,평일,06:15 ~ 19:50,
520,병천3리,발산리,토요일,06:15 ~ 19:50,
,,,공휴일,06:15 ~ 19:50,
,,,평일,06:00 ~ 19:40,
530,종합터미널,봉양1리,토요일,06:00 ~ 19:40,180
,,,공휴일,06:00 ~ 19:40,180
,,,평일,07:00 ~ 20:40,180
530,봉양1리,종합터미널,토요일,07:00 ~ 20:40,180
,,,공휴일,07:00 ~ 20:40,180
,,,평일,07:00 ~ 16:00,180
532,종합터미널,종합터미널,토요일,07:00 ~ 16:00,180
,,,공휴일,07:00 ~ 16:00,180
,,,평일,07:25 ~ 21:15,180
540,병천3리,종합터미널,토요일,07:25 ~ 21:15,210
,,,공휴일,07:25 ~ 21:15,210
,,,평일,06:10 ~ 20:00,210
540,종합터미널,병천3리,토요일,06:10 ~ 20:00,210
,,,공휴일,06:10 ~ 20:00,210
,,,평일,07:30 ~ 19:30,210
570,병천3리,동리,토요일,07:30 ~ 19:30,
,,,공휴일,07:30 ~ 19:30,
,,,평일,06:15 ~ 20:20,
570,목천농협,병천3리,토요일,06:15 ~ 20:20,
,,,공휴일,06:15 ~ 20:20,
,,,평일,07:40 ~ 07:40,
590,수신면행정복지센터,목천중고등학교,토요일,07:40 ~ 07:40,
,,,공휴일,07:40 ~ 07:40,
,,,평일,06:25 ~ 22:00,
600,종합터미널,영성로,토요일,06:25 ~ 22:00,
,,,공휴일,06:25 ~ 22:00,
,,,평일,06:25 ~ 22:30,
600,광덕사(종점),종합터미널,토요일,06:25 ~ 22:30,
,,,공휴일,06:25 ~ 22:30,
,,,평일,07:10 ~ 21:28,
601,해수부락(종점),종합터미널,토요일,07:10 ~ 21:28,
,,,공휴일,07:10 ~ 21:28,
,,,평일,06:00 ~ 20:18,
601,종합터미널,영성로,토요일,06:00 ~ 20:18,
,,,공휴일,06:00 ~ 20:18,
,,,평일,07:44 ~ 19:00,
603,종합터미널,광덕사(종점),토요일,07:44 ~ 19:00,
,,,공휴일,07:44 ~ 19:00,
,,,평일,08:59 ~ 20:15,
603,광덕사(종점),종합터미널,토요일,08:59 ~ 20:15,
,,,공휴일,08:59 ~ 20:15,
,,,평일,06:10 ~ 20:00,
614,종합터미널,휴대2리,토요일,06:10 ~ 20:00,
,,,공휴일,06:10 ~ 20:00,
,,,평일,06:45 ~ 20:30,
614,휴대2리,종합터미널,토요일,06:45 ~ 20:30,
,,,공휴일,06:45 ~ 20:30,
,,,평일,10:55 ~ 22:05,
620,풍서4리,종합터미널,토요일,10:55 ~ 22:05,
,,,공휴일,10:55 ~ 22:05,
,,,평일,10:10 ~ 21:20,
620,종합터미널,풍서4리,토요일,10:10 ~ 21:20,
,,,공휴일,10:10 ~ 21:20,
,,,평일,06:10 ~ 14:10,
621,종합터미널,미죽1리,토요일,06:10 ~ 14:10,
,,,공휴일,06:10 ~ 14:10,
,,,평일,07:00 ~ 15:05,
621,풍서4리,종합터미널,토요일,07:00 ~ 15:05,
,,,공휴일,07:00 ~ 15:05,
,,,평일,06:00 ~ 20:40,
640,종합터미널,영성로,토요일,06:00 ~ 20:40,
,,,공휴일,06:00 ~ 20:40,
,,,평일,07:20 ~ 21:40,
640,석지골,종합터미널,토요일,07:20 ~ 21:40,
,,,공휴일,07:20 ~ 21:40,
,,,평일,06:00 ~ 20:20,
650,종합터미널,태학산자연휴양림,토요일,06:00 ~ 20:20,
,,,공휴일,06:00 ~ 20:20,
,,,평일,07:00 ~ 21:40,
650,태학산자연휴양림,종합터미널,토요일,07:00 ~ 21:40,
,,,공휴일,07:00 ~ 21:40,
,,,평일,10:40 ~ 18:20,
651,이랜드월드,풍세면행정복지센터,토요일,10:40 ~ 18:20,
,,,공휴일,10:40 ~ 18:20,
,,,평일,10:20 ~ 18:00,
651,풍세면행정복지센터,이랜드물류센터,토요일,10:20 ~ 18:00,
,,,공휴일,10:20 ~ 18:00,
,,,평일,08:00 ~ 20:20,
652,풍세면행정복지센터,삼태리(종점),토요일,08:00 ~ 20:20,
,,,공휴일,08:00 ~ 20:20,
,,,평일,08:20 ~ 20:40,
652,삼태리(종점),풍세면행정복지센터,토요일,08:20 ~ 20:40,
,,,공휴일,08:20 ~ 20:40,
,,,평일,07:00 ~ 19:20,
663,풍세면행정복지센터,소정면사무소,토요일,07:00 ~ 19:20,
,,,공휴일,07:00 ~ 19:20,
,,,평일,07:25 ~ 19:45,
663,소정면사무소,풍세면행정복지센터,토요일,07:25 ~ 19:45,
,,,공휴일,07:25 ~ 19:45,
,,,평일,06:30 ~ 22:05,
700,전의읍내리(종점),안서동(문암),토요일,06:30 ~ 22:05,30
,,,공휴일,06:30 ~ 22:05,30
,,,평일,06:00 ~ 21:40,30
700,안서동(문암),전의읍내리(종점),토요일,06:00 ~ 21:40,25
,,,공휴일,06:00 ~ 21:40,25
,,,평일,07:15 ~ 19:20,25
701,안서동(문암),전의읍내리(종점),토요일,07:15 ~ 19:20,150
,,,공휴일,07:15 ~ 19:20,150
,,,평일,08:40 ~ 20:45,150
701,전의읍내리(종점),안서동(문암),토요일,08:40 ~ 20:45,150
,,,공휴일,08:40 ~ 20:45,150
,,,평일,정보없음,150
702,행정리,안서동(문암),토요일,22:00 ~ 22:00,1440
,,,공휴일,22:00 ~ 22:00,1440
,,,평일,22:00 ~ 22:00,1440
702,안서동(문암),행정리,토요일,22:00 ~ 22:00,1440
,,,공휴일,22:00 ~ 22:00,1440
,,,평일,06:05 ~ 19:40,1440
710,종합터미널,광정,토요일,06:05 ~ 19:40,75
,,,공휴일,06:05 ~ 19:40,75
,,,평일,07:10 ~ 21:15,75
710,광정,종합터미널,토요일,07:10 ~ 21:15,75
,,,공휴일,07:10 ~ 21:15,75
,,,평일,06:30 ~ 20:00,75
720,진주골,종합터미널,토요일,06:30 ~ 20:00,150
,,,공휴일,06:30 ~ 20:00,150
,,,평일,06:00 ~ 19:20,150
720,종합터미널,진주골,토요일,06:00 ~ 19:20,140
,,,공휴일,06:00 ~ 19:20,140
,,,평일,07:00 ~ 20:40,140
730,미죽리,종합터미널,토요일,07:00 ~ 20:40,240
,,,공휴일,07:00 ~ 20:40,240
,,,평일,06:20 ~ 20:00,240
730,종합터미널,미죽리,토요일,06:20 ~ 20:00,240
,,,공휴일,06:20 ~ 20:00,240
,,,평일,06:05 ~ 22:20,240
800,종합터미널,차암2통,토요일,06:05 ~ 22:20,
,,,공휴일,06:05 ~ 22:20,
,,,평일,06:25 ~ 22:40,
800,차암2통,종합터미널,토요일,06:25 ~ 22:40,
,,,공휴일,06:25 ~ 22:40,
,,,평일,06:45 ~ 20:50,
830,월랑1리,백석농공단지,토요일,06:45 ~ 20:50,
,,,공휴일,06:45 ~ 20:50,
,,,평일,06:25 ~ 20:30,
830,백석농공단지,월랑1리,토요일,06:25 ~ 20:30,
,,,공휴일,06:25 ~ 20:30,
,,,평일,07:05 ~ 20:20,
840,백석농공단지,산동1리(종점),토요일,07:05 ~ 20:20,
,,,공휴일,07:05 ~ 20:20,
,,,평일,07:20 ~ 20:35,
840,산동1리(종점),백석농공단지,토요일,07:20 ~ 20:35,
,,,공휴일,07:20 ~ 20:35,
,,,평일,06:30 ~ 17:10,
850,동산2리,백석농공단지,토요일,06:30 ~ 17:10,
,,,공휴일,06:30 ~ 17:10,
,,,평일,06:10 ~ 16:50,
850,백석농공단지,동산2리,토요일,06:10 ~ 16:50,
,,,공휴일,06:10 ~ 16:50,
,,,평일,06:50 ~ 21:50,
860,백석농공단지,매곡3리,토요일,06:50 ~ 21:50,
,,,공휴일,06:50 ~ 21:50,
,,,평일,07:10 ~ 22:10,
860,매곡3리,백석농공단지,토요일,07:10 ~ 22:10,
,,,공휴일,07:10 ~ 22:10,
,,,평일,06:07 ~ 22:30,
900,시외버스터미널(환승정류장),신한아파트,토요일,06:07 ~ 22:30,
,,,공휴일,06:07 ~ 22:30,
,,,평일,06:03 ~ 22:30,
900,종합터미널,고속버스터미널,토요일,06:03 ~ 22:30,
,,,공휴일,06:03 ~ 22:30,
,,,평일,06:17 ~ 22:10,
910,종합터미널,고속버스터미널,토요일,06:17 ~ 22:10,
,,,공휴일,06:17 ~ 22:10,
,,,평일,06:21 ~ 22:40,
910,시외버스터미널(환승정류장),신한아파트,토요일,06:21 ~ 22:40,
,,,공휴일,06:21 ~ 22:40,
,,,평일,06:00 ~ 20:25,
970,온양온천역 유엘시티,종합터미널,토요일,06:00 ~ 20:25,
,,,공휴일,06:00 ~ 20:25,
,,,평일,06:50 ~ 20:10,
980,고속터미널,남산축협,토요일,06:50 ~ 20:10,
,,,공휴일,06:50 ~ 20:10,
,,,평일,06:00 ~ 19:00,
980,온양온천역 유엘시티,종합터미널,토요일,06:00 ~ 19:00,
,,,공휴일,06:00 ~ 19:00,
,,,평일,14:05 ~ 19:55,
981,고속터미널,남산축협,토요일,14:05 ~ 19:55,
,,,공휴일,14:05 ~ 19:55,
,,,평일,13:15 ~ 19:05,
981,포스코아파트 정문,종합터미널,토요일,13:15 ~ 19:05,
,,,공휴일,13:15 ~ 19:05,
,,,평일,06:55 ~ 11:00,
982,종합터미널,남산축협,토요일,06:55 ~ 11:00,
,,,공휴일,06:55 ~ 11:00,
,,,평일,06:00 ~ 22:00,
7001,신부경남아파트,한마음세차장,토요일,06:00 ~ 22:00,
,,,공휴일,06:00 ~ 22:00,
