"시간대:","","","","","","","합계","","4","","5","","6","","7","","8","","9","","10","","11","","12","","13","","14","","15","","16","","17","","18","","19","","20","","21","","22","","23","","0",""
"시도코드","시도","시군구","읍면동","월","이용자유형","교통수단","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량"
"합계","","","","","","","2,864,590","2,032,840","2,252","4","10,610","2,111","84,585","41,629","194,635","109,966","204,285","151,237","155,963","120,363","148,944","113,337","158,144","120,840","179,396","131,131","197,819","146,099","196,236","140,022","217,778","151,790","244,946","157,841","241,703","160,636","221,889","163,680","135,532","112,015","112,384","82,238","96,657","69,464","55,366","45,608","5,385","10,734","81","2,095"
"","","","","","","시내","152","78","0","0","0","0","0","0","5","9","9","6","3","1","0","2","6","4","5","3","20","9","21","7","59","11","11","10","1","3","2","6","9","5","1","0","0","1","0","1","0","0","0","0"
"","","","","","외국인","도시철도","88","91","0","0","0","0","1","0","1","1","0","2","0","0","3","2","10","7","4","5","7","7","8","10","3","11","7","7","9","6","14","7","12","8","6","8","2","2","1","3","0","4","0","1"
"","","","","","일반인","도시철도","81,157","83,703","1,199","3","1,721","364","3,276","2,185","5,227","3,030","3,676","4,604","3,597","4,187","3,265","3,932","3,936","4,219","4,119","4,628","4,705","5,399","5,086","4,703","5,519","6,342","6,362","5,543","7,131","6,631","7,701","7,996","5,176","6,619","3,709","5,320","3,139","3,179","1,792","2,555","815","1,398","6","866"
"","","","","","","시내","80,883","59,821","0","0","71","16","1,710","1,125","3,542","2,835","3,436","2,996","3,864","3,567","4,021","4,043","5,199","4,610","5,516","4,482","6,135","4,624","6,384","4,848","6,104","4,873","6,926","4,772","6,680","4,706","6,872","4,511","5,146","3,137","4,035","2,220","3,412","1,552","1,707","841","123","63","0","0"
"","","","","","장애인","도시철도","4,802","4,966","45","0","62","33","153","190","242","212","253","222","269","258","312","339","336","370","368","419","398","503","429","355","394","457","375","329","342","324","359","288","202","210","129","224","77","103","41","80","16","28","0","22"
"","","","","","청소년","도시철도","4,153","4,416","4","0","6","1","100","64","447","195","152","239","118","192","138","161","167","203","169","285","265","361","197","251","256","327","436","308","357","516","448","377","302","270","224","215","209","215","93","122","65","57","0","57"
"","","","","","","시내","5,856","3,171","0","0","0","0","100","68","360","291","330","230","187","96","118","114","217","131","305","173","446","208","367","202","421","249","762","315","661","321","513","239","296","168","299","143","288","162","175","51","11","10","0","0"
"","","","동면","202012","어린이","시내","2","16","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","10","0","4","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","일반인","시내","2,740","1,795","0","0","0","0","159","79","131","50","395","97","524","88","338","179","225","185","177","136","236","252","81","136","81","157","104","156","132","111","43","83","93","35","14","25","7","22","0","4","0","0","0","0"
"","","","","","청소년","시내","166","36","0","0","0","0","8","0","1","0","41","0","13","1","8","0","6","0","10","3","9","2","7","2","10","10","21","11","25","1","5","3","1","0","0","1","1","2","0","0","0","0","0","0"
"","","","두정동","202012","경로","도시철도","9,578","9,833","47","0","202","145","447","301","507","387","712","613","821","725","936","555","859","718","622","681","851","790","714","744","685","830","700","908","541","799","403","660","231","353","153","299","73","163","67","127","7","31","0","4"
"","","","","","","시내","18","14","0","0","0","0","0","0","0","1","0","0","3","1","0","0","0","1","1","0","3","2","5","4","2","2","3","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"","","","","","국가유공자","도시철도","159","194","0","0","9","2","2","5","35","15","4","4","14","16","8","17","12","11","2","6","9","11","7","8","18","14","15","15","9","19","4","15","3","6","2","7","2","9","2","10","2","4","0","0"
"","","","","","어린이","도시철도","239","242","0","0","0","0","5","0","21","4","3","1","9","2","14","4","15","8","7","18","21","18","18","17","15","39","24","33","20","20","25","38","16","18","18","6","7","10","1","1","0","3","0","2"
"","","","","","","시내","721","447","0","0","0","0","0","0","16","5","18","5","14","6","13","11","25","24","37","23","87","43","90","85","132","44","84","48","87","60","40","66","37","17","18","6","19","4","4","0","0","0","0","0"
