"","RC1","RC2","RC3","sigun"
"1",-0.0297299890078644,3.09470884199533,-0.172886323100681,"가평군"
"2",0.877658184000358,2.14470972122094,-0.221197578149886,"강릉시"
"3",-0.0447322568020899,-0.56735176595654,-0.248942020382766,"강북구"
"4",-0.837400032849358,0.876898000883761,2.31118166041405,"강원도 고성군"
"5",-0.632970432442047,-0.289311384407395,-0.00317205412424061,"강진군"
"6",-0.325332291868985,1.5294556361904,0.274511405417006,"거제시"
"7",-0.715805858457335,-0.227449490887871,1.14158146973966,"거창군"
"8",-0.656659269837894,-0.147763670406056,0.510624945124953,"경남 고성군"
"9",-0.0703818538228437,-0.441611564187934,-0.5209419566061,"경산시"
"10",0.98231134044538,1.73587579673464,-0.0550665483238258,"경주시"
"11",-0.466382847097671,-0.443536104253817,-4.54801928803377,"계룡시"
"12",-0.702491638784787,-0.386348663557223,-0.492958057906876,"고령군"
"13",4.92632257270678,-1.37318631762117,-0.905247200289478,"고양시"
"14",-0.263885464831659,-0.16013085998582,-6.64755212439749,"고창군"
"15",-0.734547229490174,-0.0729803367524158,-0.386478829978174,"고흥군"
"16",-0.556998362373912,-0.370492038035151,-1.65209319318811,"곡성군"
"17",-0.0848939353456613,-0.115175939584919,-0.253558679315611,"공주시"
"18",0.493570190790578,-0.952625464537932,0.345910792397508,"과천시"
"19",-0.149826509831832,-0.640083174942842,-0.346740728911105,"관악구"
"20",-0.0846222759322997,0.0302282149305265,-0.332290478755555,"광명시"
"21",-0.351491473551593,-0.241737669707905,-3.23885953310813,"광양시"
"22",0.657026726214578,0.0966247950688162,0.415444304498666,"광주시"
"23",0.415056134228027,-0.639854584115315,0.686712453139145,"광진구"
"24",-0.773412479948397,-0.00185112812615083,0.695388505053058,"괴산군"
"25",-0.668794034336371,-0.204553408034468,0.328673816802919,"구례군"
"26",-0.311165434086219,-0.53902748759969,0.512566406466365,"구로구"
"27",-0.199669689479704,-0.623829470184276,1.00330147199146,"구리시"
"28",0.0150068620938367,-0.270180465326393,2.25875272723486,"구미시"
"29",0.173304834415424,0.348322896412867,-4.61783420895546,"군산시"
"30",-0.645209152680986,-0.555799091472755,0.0169725378045576,"군위군"
"31",-0.209888299395073,-0.422951219050226,1.21015422712439,"군포시"
"32",-0.638748031690021,-0.25982925579945,0.19560226028664,"금산군"
"33",-0.4035975128479,-0.624684385366183,-0.516250690790764,"금천구"
"34",-0.494971584551347,-0.397861316031124,-0.0344511651645829,"김제시"
"35",-0.434636080520736,-0.266198126807834,-3.31858077636892,"김천시"
"36",1.71318650113682,-0.326606034745124,-0.147674024575129,"김포시"
"37",0.656157434853805,-0.434799245645476,-0.953719790562259,"김해시"
"38",-0.229110510123728,-0.367332655849978,-0.734273960419468,"나주시"
"39",3.2631585872105,-0.502579339368032,-0.727015507440662,"남양주시"
"40",-0.531131202629091,-0.288829210597119,-0.699231053394294,"남원시"
"41",-0.764447288587591,1.1359664199746,-0.589773031850087,"남해군"
"42",-0.00222422031795884,-0.298101154483194,-0.047352323831551,"노원구"
"43",-0.469040213519594,-0.139412498436802,-0.804345122061949,"논산시"
"44",-0.511281367428277,0.0645959954209164,-0.650127728942661,"단양군"
"45",-0.135124906438708,-0.0311475059147291,-1.17603024696544,"담양군"
"46",-0.0413015991689883,0.0513590904672456,-0.0163889976245212,"당진시"
"47",-0.349176937333083,-0.552523258663504,-0.412877014266177,"도봉구"
"48",-0.298670245816005,-0.504624997372069,-0.307314761849854,"동대문구"
"49",-0.564224017528419,-0.267780252837868,0.043579090549075,"동두천시"
"50",-0.283814920360876,-0.614517930379855,0.171489059186753,"동작구"
"51",-0.494694311530434,0.414525070416529,0.201872444774022,"동해시"
"52",2.1874180908035,-0.911527649594832,-0.338856631932933,"마포구"
"53",0.233750131590446,0.0997423541882394,-0.65712006541664,"목포시"
"54",-0.478810350694787,-0.2373163057018,-0.292982917064051,"무안군"
"55",-0.661300088323038,-0.147230234481309,-0.633340446085996,"무주군"
"56",-0.515427131477335,-0.113511679295236,-0.732263457430817,"문경시"
"57",-0.191295735994211,0.172032462169072,-1.03419568733226,"밀양시"
"58",-0.538051048454143,0.720903137429198,-0.724105423185806,"보령시"
"59",-0.614668137397197,-0.205512517652113,-0.154096871458384,"보성군"
"60",-0.630372487030617,-0.122142450294303,0.145028881917612,"보은군"
"61",-0.706411332561412,-0.350845441029485,-0.412588683472801,"봉화군"
"62",-0.786474262466312,0.475951213405754,0.160891934401359,"부안군"
"63",-0.388536022634042,-0.32858188452819,0.340350870864486,"부여군"
"64",1.31185115481994,-0.873951709796357,0.454525266704537,"부천시"
"65",-0.535790688046608,0.244441889738221,-0.165890412903648,"사천시"
"66",-0.705806073206128,-0.267814259141051,0.106085147486761,"산청군"
"67",-0.710877712385914,1.4611563167508,0.160419944913613,"삼척시"
"68",-0.488359493331044,-0.315446397677551,0.00918090079820824,"상주시"
"69",1.12580774080212,5.77193299924659,-0.454001079525755,"서귀포시"
"70",-0.147976073514506,-0.593910770763854,0.414108912828612,"서대문구"
"71",-0.608112081496628,0.071199430173705,0.0176955033541375,"서산시"
"72",-0.74432975151316,0.0796678534720808,-0.22979841204568,"서천군"
"73",1.17320229234838,-0.448016098375655,0.354291026032743,"서초구"
"74",3.06541021880603,-1.18275034776081,0.421391791323801,"성남시"
"75",0.265785055609666,-0.629738553287014,0.224508623061625,"성동구"
"76",-0.663498524321589,-0.300769254263662,-0.269951057935152,"성주군"
"77",0.612498359234171,-0.206960764197048,0.246631624267936,"세종시"
"78",0.337825904036348,1.94504218528177,0.327710723325965,"속초시"
