정류장번호,정류장명,위도,경도,도시코드,도시명,주소
CAB231001650,강덕리,36.9470033,127.2393907,34010,천안시,"안성맞춤대로, 미양면, 안성시, 경기도, 17604, 대한민국"
CAB231001904,독정리,36.92837462,127.22668741,34010,천안시,"안성맞춤대로, 서운면, 안성시, 경기도, 17608, 대한민국"
CAB231002096,계동.안성제2산업단지입구,36.98082633,127.26388074,34010,천안시,"안성맞춤대로, 안성제2산업단지, 미양면, 안성시, 경기도, 17597, 대한민국"
CAB231002097,계동.안성제2산업단지입구,36.98116132,127.26434908,34010,천안시,"동광아파트, 안성맞춤대로, 계동, 미양면, 안성시, 경기도, 17597, 대한민국"
CAB231033140,도기동,36.99987638,127.26798622,34010,천안시,"안성맞춤대로, 신흥동, 안성시, 경기도, 17583, 대한민국"
CAB231033143,도기동,36.99996631,127.26816908,34010,천안시,"안성맞춤대로, 신흥동, 안성시, 경기도, 17583, 대한민국"
CAB231033149,계동입구,36.98650794,127.26822907,34010,천안시,"안성맞춤대로, 계동, 계륵리, 안성시, 경기도, 17596, 대한민국"
CAB231033161,인지사거리,37.0044113,127.26989739,34010,천안시,"장기로, 낙원동, 안성시, 경기도, 17592, 대한민국"
CAB231033173,서광아파트,37.00410296,127.27326574,34010,천안시,"장기로, 낙원동, 안성시, 경기도, 17592, 대한민국"
CAB231033174,서광아파트,37.00397463,127.27349574,34010,천안시,"장기로, 낙원동, 안성시, 경기도, 17592, 대한민국"
CAB231033180,시민회관.보건소,37.00407463,127.27470576,34010,천안시,"장기로, 낙원동, 안성시, 경기도, 17592, 대한민국"
CAB231033182,시민회관,37.0038963,127.27569907,34010,천안시,"장기로, 낙원동, 안성시, 경기도, 17592, 대한민국"
CAB231033195,봉산로타리.안성시청,37.00527463,127.27919407,34010,천안시,"장기로, 봉산동, 안성시, 경기도, 17592, 대한민국"
CAB231034175,구송산,36.93531859,127.23400176,34010,천안시,"안성맞춤대로, 서운면, 안성시, 경기도, 17608, 대한민국"
CAB231034185,강덕리,36.94678963,127.23945575,34010,천안시,"안성맞춤대로, 미양면, 안성시, 경기도, 17604, 대한민국"
CAB231034196,양변리입구,36.95276465,127.24274575,34010,천안시,"동변길, 미양면, 안성시, 경기도, 17604, 대한민국"
CAB231034201,금화마을,36.96044796,127.24517407,34010,천안시,"금화아파트, 안성맞춤대로, 미양면, 안성시, 경기도, 17604, 대한민국"
CAB231034202,금화아파트,36.96111881,127.24580004,34010,천안시,"안성맞춤대로, 미양면, 안성시, 경기도, 17604, 대한민국"
CAB231034206,미양농공단지,36.96402624,127.24764144,34010,천안시,"안성맞춤대로, 미양면, 안성시, 경기도, 17604, 대한민국"
CAB231034207,미양농공단지,36.9634046,127.24743741,34010,천안시,"안성맞춤대로, 미양면, 안성시, 경기도, 17604, 대한민국"
CAB231034221,구수리,36.97403629,127.25607408,34010,천안시,"구수리, 구수길, 미양면, 안성시, 경기도, 17597, 대한민국"
CAB231034258,안성제2공단,36.97742463,127.26155907,34010,천안시,"제2공단1길, 안성제2산업단지, 미양면, 안성시, 경기도, 17597, 대한민국"
CAB231034259,롯데칠성,36.97804467,127.26169457,34010,천안시,"안성맞춤대로, 안성제2산업단지, 미양면, 안성시, 경기도, 17597, 대한민국"
CAB231034673,보체리입구,36.96609561,127.24873942,34010,천안시,"안성맞춤대로, 미양면, 안성시, 경기도, 17604, 대한민국"
CAB231034700,독정리,36.93131798,127.22998241,34010,천안시,"안성맞춤대로, 서운면, 안성시, 경기도, 17608, 대한민국"
CAB231034701,보체리입구,36.9660371,127.248914,34010,천안시,"안성맞춤대로, 미양면, 안성시, 경기도, 17604, 대한민국"
CAB279000712,진천군청,36.85449368,127.43553795,34010,천안시,"상산로, 진천읍, 진천군, 충청북도, 27832, 대한민국"
CAB279000714,읍사무소앞,36.8545832,127.4413048,34010,천안시,"진천읍사무소, 65, 상산로, 진천읍, 진천군, 충청북도, 27832, 대한민국"
CAB279000715,읍내5리,36.85452443,127.44312563,34010,천안시,"상산로, 진천읍, 진천군, 충청북도, 27832, 대한민국"
CAB279000716,진천신협,36.85866664,127.44331112,34010,천안시,"진천신협, 중앙북로, 읍내리, 진천군, 충청북도, 대한민국"
CAB279000717,읍내2리,36.85678194,127.44188314,34010,천안시,"중앙서1길, 진천읍, 진천군, 충청북도, 27832, 대한민국"
CAB279000718,교성리,36.85427305,127.43186626,34010,천안시,"교성리, 문진로, 사석리, 진천군, 충청북도, 27828, 대한민국"
CAB279000720,잣고개,36.84045628,127.41505241,34010,천안시,"잣고개, 문진로, 사석리, 진천군, 충청북도, 27828, 대한민국"
CAB279000721,석박,36.83224794,127.4125974,34010,천안시,"석박, 문진로, 사석리, 진천군, 충청북도, 대한민국"
CAB279000722,석박,36.83194302,127.41211914,34010,천안시,"21, 사석리, 진천군, 충청북도, 27827, 대한민국"
CAB279000724,성암초등학교,36.82592704,127.40595754,34010,천안시,"금사로, 사석리, 진천군, 충청북도, 27826, 대한민국"
CAB279000726,지암2리,36.82798133,127.39892575,34010,천안시,"21, 사석리, 진천군, 충청북도, 27827, 대한민국"
CAB279000728,금암리,36.8233586,127.38029111,34010,천안시,"금사로, 금암리, 진천군, 충청북도, 27827, 대한민국"
CAB279000729,금암리,36.82287386,127.37957931,34010,천안시,"금암리, 진천군, 충청북도, 27827, 대한민국"
CAB279001153,보탑사삼거리,36.82819463,127.3945274,34010,천안시,"금사로, 금암리, 진천군, 충청북도, 27827, 대한민국"
CAB279001154,성암초등학교,36.82584087,127.40656576,34010,천안시,"사석리, 진천군, 충청북도, 27826, 대한민국"
CAB279001156,교성리,36.85444212,127.4313742,34010,천안시,"교성리, 문진로, 사석리, 진천군, 충청북도, 27828, 대한민국"
CAB279001157,신양4차,36.8547362,127.437162,34010,천안시,"상산로, 진천읍, 진천군, 충청북도, 27832, 대한민국"
CAB279010078,삼성디지털프라자,36.85790174,127.44487143,34010,천안시,"중앙동로, 읍내리, 진천군, 충청북도, 27832, 대한민국"
CAB279010079,길상사,36.85150679,127.42778836,34010,천안시,"진천교, 교성리, 진천군, 충청북도, 27841, 대한민국"
CAB279010081,사석,36.8259853,127.4111186,34010,천안시,"문진로, 사석리, 진천군, 충청북도, 27828, 대한민국"
CAB285000038,안궁5리,36.96443966,127.11952574,34010,천안시,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
CAB285000039,안궁5리(문화촌),36.96399296,127.12005408,34010,천안시,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
CAB285000040,안궁3리(가룡),36.9619402,127.1254315,34010,천안시,"성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
CAB285000041,안궁4리(신안동),36.95669627,127.12954907,34010,천안시,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
CAB285000042,안궁3리,36.9619677,127.1255887,34010,천안시,"성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
CAB285000043,안궁리,36.95571297,127.13013908,34010,천안시,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
CAB285000044,대홍5리,36.9480054,127.1325609,34010,천안시,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
CAB285000045,대홍5리 홍천,36.94933632,127.13231908,34010,천안시,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
CAB285000046,대홍5리,36.94633466,127.13288074,34010,천안시,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
CAB285000047,대홍5리,36.94615489,127.13331579,34010,천안시,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
CAB285000050,대홍1리(대정),36.93843296,127.13435907,34010,천안시,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
CAB285000051,대홍4리(갯방죽),36.93176964,127.13410908,34010,천안시,"성환22길, 성환읍, 서북구, 천안시, 충청남도, 31013, 대한민국"
CAB285000052,대홍4리(갯방죽),36.93229797,127.1344624,34010,천안시,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
CAB285000053,희성폴리머,36.92925798,127.13425574,34010,천안시,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
CAB285000054,희성폴리머,36.92884631,127.13404741,34010,천안시,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
CAB285000055,장로교회,36.92347629,127.1346624,34010,천안시,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
CAB285000056,장로교회,36.92336465,127.1344274,34010,천안시,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
CAB285000057,대홍리,36.9487585,127.1341577,34010,천안시,"연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
CAB285000058,수향1리(지족향),36.94976127,127.14174407,34010,천안시,"연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
CAB285000059,수향2리(무내),36.94627127,127.14962074,34010,천안시,"무내1길, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
CAB285000060,수향2리,36.94339467,127.15063682,34010,천안시,"무내2길, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
CAB285000061,수향3리,36.9420418,127.1564822,34010,천안시,"연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
CAB285000062,천안연암대학교,36.9440399,127.1585228,34010,천안시,"연암대학교, 313, 연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
CAB285000063,도하3리,36.94592493,127.16187285,34010,천안시,"연암대학교, 313, 연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
CAB285000064,도하1리(도감말),36.94769411,127.16403137,34010,천안시,"연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
CAB285000065,양령리,36.95448794,127.17808574,34010,천안시,"연암로, 입장면, 서북구, 천안시, 충청남도, 17602, 대한민국"
CAB285000066,산정1리(산우물),36.9407913,127.1792908,34010,천안시,"용정도하길, 입장면, 서북구, 천안시, 충청남도, 31005, 대한민국"
CAB285000067,흑암리,36.9379979,127.1830734,34010,천안시,"용정도하길, 입장면, 서북구, 천안시, 충청남도, 31005, 대한민국"
CAB285000068,가산1리(토산),36.9347908,127.1889787,34010,천안시,"용정도하길, 입장면, 서북구, 천안시, 충청남도, 31041, 대한민국"
CAB285000069,용정1리(강당),36.925789,127.1886594,34010,천안시,"입장면, 서북구, 천안시, 충청남도, 31027, 대한민국"
CAB285000070,용정2리,36.9217472,127.1925684,34010,천안시,"섶머리1길, 입장면, 서북구, 천안시, 충청남도, 31027, 대한민국"
CAB285000071,신두1리,36.91665547,127.2022187,34010,천안시,"섶머리1길, 입장면, 서북구, 천안시, 충청남도, 31054, 대한민국"
CAB285000072,연곡2리 갈산지,36.94881355,127.19691889,34010,천안시,"연곡길, 입장면, 서북구, 천안시, 충청남도, 17602, 대한민국"
